,i/cout,\lam/\lam_max,stage
0,0.0,1.0,1
1,0.041666666666666664,0.9628728628158569,1
2,0.08333333333333333,0.8958562016487122,1
3,0.125,0.8620955944061279,1
4,0.16666666666666666,0.8470615744590759,1
5,0.20833333333333334,0.8088886141777039,1
6,0.25,0.7858411073684692,1
7,0.2916666666666667,0.763802707195282,1
8,0.3333333333333333,0.7274320125579834,1
9,0.375,0.719804048538208,1
10,0.4166666666666667,0.6610903143882751,1
11,0.4583333333333333,0.6580151319503784,1
12,0.5,0.6334762573242188,1
13,0.5416666666666666,0.6107262969017029,1
14,0.5833333333333334,0.5488046407699585,1
15,0.625,0.5275845527648926,1
16,0.6666666666666666,0.4948315918445587,1
17,0.7083333333333334,0.47405800223350525,1
18,0.75,0.4163248836994171,1
19,0.7916666666666666,0.3990773558616638,1
20,0.8333333333333334,0.3773949444293976,1
21,0.875,0.325460284948349,1
22,0.9166666666666666,0.28468284010887146,1
23,0.9583333333333334,0.24320727586746216,1
24,0.0,1.0,2
25,0.03125,0.957355260848999,2
26,0.0625,0.9503967761993408,2
27,0.09375,0.8904449343681335,2
28,0.125,0.834847092628479,2
29,0.15625,0.8245006799697876,2
30,0.1875,0.8060760498046875,2
31,0.21875,0.7715094089508057,2
32,0.25,0.7535995841026306,2
33,0.28125,0.7036173939704895,2
34,0.3125,0.6844977736473083,2
35,0.34375,0.6728866696357727,2
36,0.375,0.627356231212616,2
37,0.40625,0.6217522025108337,2
38,0.4375,0.5951128005981445,2
39,0.46875,0.5596503615379333,2
40,0.5,0.5406314134597778,2
41,0.53125,0.5314319133758545,2
42,0.5625,0.47958341240882874,2
43,0.59375,0.4689908027648926,2
44,0.625,0.4509371519088745,2
45,0.65625,0.4353363811969757,2
46,0.6875,0.4220755100250244,2
47,0.71875,0.38667383790016174,2
48,0.75,0.34365057945251465,2
49,0.78125,0.33956247568130493,2
50,0.8125,0.31232625246047974,2
51,0.84375,0.29387035965919495,2
52,0.875,0.2819148004055023,2
53,0.90625,0.2452157437801361,2
54,0.9375,0.16880372166633606,2
55,0.96875,0.10767674446105957,2
56,0.0,1.0,3
57,0.015625,0.9322082996368408,3
58,0.03125,0.8648561835289001,3
59,0.046875,0.8438341617584229,3
60,0.0625,0.823250949382782,3
61,0.078125,0.8147565126419067,3
62,0.09375,0.7751724720001221,3
63,0.109375,0.7569186091423035,3
64,0.125,0.7097517848014832,3
65,0.140625,0.698454737663269,3
66,0.15625,0.6885561347007751,3
67,0.171875,0.6727433800697327,3
68,0.1875,0.6510568261146545,3
69,0.203125,0.6361904144287109,3
70,0.21875,0.6209980845451355,3
71,0.234375,0.6151623129844666,3
72,0.25,0.602744460105896,3
73,0.265625,0.5893389582633972,3
74,0.28125,0.5617412328720093,3
75,0.296875,0.5562199950218201,3
76,0.3125,0.5504477620124817,3
77,0.328125,0.5411463379859924,3
78,0.34375,0.5137315392494202,3
79,0.359375,0.5056498646736145,3
80,0.375,0.4974437654018402,3
81,0.390625,0.49224308133125305,3
82,0.40625,0.4803813397884369,3
83,0.421875,0.4650377035140991,3
84,0.4375,0.4542699456214905,3
85,0.453125,0.45022401213645935,3
86,0.46875,0.4433910548686981,3
87,0.484375,0.4363379180431366,3
88,0.5,0.4234616756439209,3
89,0.515625,0.4057701528072357,3
90,0.53125,0.40131676197052,3
91,0.546875,0.3969000577926636,3
92,0.5625,0.3872825801372528,3
93,0.578125,0.3783528208732605,3
94,0.59375,0.36194050312042236,3
95,0.609375,0.3499656915664673,3
96,0.625,0.3298214375972748,3
97,0.640625,0.3233477473258972,3
98,0.65625,0.3166269361972809,3
99,0.671875,0.306578129529953,3
100,0.6875,0.30280494689941406,3
101,0.703125,0.2823430895805359,3
102,0.71875,0.26610469818115234,3
103,0.734375,0.25328972935676575,3
104,0.75,0.25017791986465454,3
105,0.765625,0.24398161470890045,3
106,0.78125,0.23096700012683868,3
107,0.796875,0.22212673723697662,3
108,0.8125,0.21854934096336365,3
109,0.828125,0.1983097642660141,3
110,0.84375,0.18576127290725708,3
111,0.859375,0.18117867410182953,3
112,0.875,0.17600762844085693,3
113,0.890625,0.16981898248195648,3
114,0.90625,0.16653072834014893,3
115,0.921875,0.15259675681591034,3
116,0.9375,0.14584439992904663,3
117,0.953125,0.1268751174211502,3
118,0.96875,0.12218175083398819,3
119,0.984375,0.10924217104911804,3
120,0.0,1.0,4
121,0.011363636363636364,0.7787036299705505,4
122,0.022727272727272728,0.6973417401313782,4
123,0.03409090909090909,0.6816325783729553,4
124,0.045454545454545456,0.6530328392982483,4
125,0.056818181818181816,0.6371278166770935,4
126,0.06818181818181818,0.6215434074401855,4
127,0.07954545454545454,0.5985053777694702,4
128,0.09090909090909091,0.5903104543685913,4
129,0.10227272727272728,0.5762835144996643,4
130,0.11363636363636363,0.5692335963249207,4
131,0.125,0.5560306310653687,4
132,0.13636363636363635,0.5415990352630615,4
133,0.14772727272727273,0.5392056703567505,4
134,0.1590909090909091,0.5363646149635315,4
135,0.17045454545454544,0.5349506735801697,4
136,0.18181818181818182,0.5237697958946228,4
137,0.19318181818181818,0.5199697017669678,4
138,0.20454545454545456,0.5149692296981812,4
139,0.2159090909090909,0.5094655156135559,4
140,0.22727272727272727,0.4951815605163574,4
141,0.23863636363636365,0.49294036626815796,4
142,0.25,0.4919701814651489,4
143,0.26136363636363635,0.48639795184135437,4
144,0.2727272727272727,0.4833686649799347,4
145,0.2840909090909091,0.4788869619369507,4
146,0.29545454545454547,0.47699281573295593,4
147,0.3068181818181818,0.4679136872291565,4
148,0.3181818181818182,0.46150290966033936,4
149,0.32954545454545453,0.4609633684158325,4
150,0.3409090909090909,0.45664000511169434,4
151,0.3522727272727273,0.4483448266983032,4
152,0.36363636363636365,0.44776636362075806,4
153,0.375,0.4424649775028229,4
154,0.38636363636363635,0.4396328926086426,4
155,0.3977272727272727,0.4349938631057739,4
156,0.4090909090909091,0.4320741295814514,4
157,0.42045454545454547,0.4279780089855194,4
158,0.4318181818181818,0.4207216501235962,4
159,0.4431818181818182,0.41839277744293213,4
160,0.45454545454545453,0.4123912453651428,4
161,0.4659090909090909,0.40884727239608765,4
162,0.4772727272727273,0.40367838740348816,4
163,0.48863636363636365,0.3997231721878052,4
164,0.5,0.3963257968425751,4
165,0.5113636363636364,0.395260214805603,4
166,0.5227272727272727,0.3928122818470001,4
167,0.5340909090909091,0.38827165961265564,4
168,0.5454545454545454,0.38331305980682373,4
169,0.5568181818181818,0.37985777854919434,4
170,0.5681818181818182,0.3777310848236084,4
171,0.5795454545454546,0.3758152425289154,4
172,0.5909090909090909,0.3737315535545349,4
173,0.6022727272727273,0.3687271475791931,4
174,0.6136363636363636,0.3628593981266022,4
175,0.625,0.36110299825668335,4
176,0.6363636363636364,0.35908499360084534,4
177,0.6477272727272727,0.35714441537857056,4
178,0.6590909090909091,0.35218968987464905,4
179,0.6704545454545454,0.3486141562461853,4
180,0.6818181818181818,0.34625062346458435,4
181,0.6931818181818182,0.3421521484851837,4
182,0.7045454545454546,0.3387644588947296,4
183,0.7159090909090909,0.335096538066864,4
184,0.7272727272727273,0.3313751220703125,4
185,0.7386363636363636,0.32651206851005554,4
186,0.75,0.3229163885116577,4
187,0.7613636363636364,0.3168553113937378,4
188,0.7727272727272727,0.3156769871711731,4
189,0.7840909090909091,0.3128977119922638,4
190,0.7954545454545454,0.3088175356388092,4
191,0.8068181818181818,0.3043422996997833,4
192,0.8181818181818182,0.3014742136001587,4
193,0.8295454545454546,0.2985011339187622,4
194,0.8409090909090909,0.29677021503448486,4
195,0.8522727272727273,0.2900523543357849,4
196,0.8636363636363636,0.2881549000740051,4
197,0.875,0.28377577662467957,4
198,0.8863636363636364,0.2813340723514557,4
199,0.8977272727272727,0.2768372893333435,4
200,0.9090909090909091,0.2713903486728668,4
201,0.9204545454545454,0.2685052454471588,4
202,0.9318181818181818,0.2630482017993927,4
203,0.9431818181818182,0.255718857049942,4
204,0.9545454545454546,0.2502066195011139,4
205,0.9659090909090909,0.24690325558185577,4
206,0.9772727272727273,0.24012260138988495,4
207,0.9886363636363636,0.23100535571575165,4
208,0.0,1.0,5
209,0.008333333333333333,0.7049253582954407,5
210,0.016666666666666666,0.6299077272415161,5
211,0.025,0.60369473695755,5
212,0.03333333333333333,0.5893564820289612,5
213,0.041666666666666664,0.5808023810386658,5
214,0.05,0.5669641494750977,5
215,0.058333333333333334,0.5576187372207642,5
216,0.06666666666666667,0.5560610890388489,5
217,0.075,0.5502842664718628,5
218,0.08333333333333333,0.5448638200759888,5
219,0.09166666666666666,0.5389145016670227,5
220,0.1,0.5349617600440979,5
221,0.10833333333333334,0.534099280834198,5
222,0.11666666666666667,0.5306077599525452,5
223,0.125,0.5258974432945251,5
224,0.13333333333333333,0.5210883021354675,5
225,0.14166666666666666,0.5158854722976685,5
226,0.15,0.5142207741737366,5
227,0.15833333333333333,0.5096681714057922,5
228,0.16666666666666666,0.5069999694824219,5
229,0.175,0.5040001273155212,5
230,0.18333333333333332,0.5020994544029236,5
231,0.19166666666666668,0.49996304512023926,5
232,0.2,0.4946622848510742,5
233,0.20833333333333334,0.49182039499282837,5
234,0.21666666666666667,0.4910123348236084,5
235,0.225,0.48468515276908875,5
236,0.23333333333333334,0.4833502769470215,5
237,0.24166666666666667,0.480724036693573,5
238,0.25,0.47969332337379456,5
239,0.25833333333333336,0.4782465696334839,5
240,0.26666666666666666,0.47258543968200684,5
241,0.275,0.46864399313926697,5
242,0.2833333333333333,0.4673531949520111,5
243,0.2916666666666667,0.463468998670578,5
244,0.3,0.4595367908477783,5
245,0.30833333333333335,0.4576752781867981,5
246,0.31666666666666665,0.4568450152873993,5
247,0.325,0.45449134707450867,5
248,0.3333333333333333,0.45265406370162964,5
249,0.3416666666666667,0.44943684339523315,5
250,0.35,0.4475085139274597,5
251,0.35833333333333334,0.4461422264575958,5
252,0.36666666666666664,0.44167986512184143,5
253,0.375,0.44162777066230774,5
254,0.38333333333333336,0.43592044711112976,5
255,0.39166666666666666,0.4344329535961151,5
256,0.4,0.4310134947299957,5
257,0.4083333333333333,0.4284122586250305,5
258,0.4166666666666667,0.4269058406352997,5
259,0.425,0.4261404573917389,5
260,0.43333333333333335,0.42429935932159424,5
261,0.44166666666666665,0.4224889576435089,5
262,0.45,0.41918957233428955,5
263,0.4583333333333333,0.4181548058986664,5
264,0.4666666666666667,0.41647887229919434,5
265,0.475,0.4134710133075714,5
266,0.48333333333333334,0.4114721119403839,5
267,0.49166666666666664,0.4086986780166626,5
268,0.5,0.40763217210769653,5
269,0.5083333333333333,0.40372925996780396,5
270,0.5166666666666667,0.4027971029281616,5
271,0.525,0.40048158168792725,5
272,0.5333333333333333,0.39926329255104065,5
273,0.5416666666666666,0.39763522148132324,5
274,0.55,0.39144086837768555,5
275,0.5583333333333333,0.38985010981559753,5
276,0.5666666666666667,0.3884460926055908,5
277,0.575,0.3842853307723999,5
278,0.5833333333333334,0.3829949200153351,5
279,0.5916666666666667,0.3810347616672516,5
280,0.6,0.3787943124771118,5
281,0.6083333333333333,0.3765741288661957,5
282,0.6166666666666667,0.37417924404144287,5
283,0.625,0.37268364429473877,5
284,0.6333333333333333,0.3714247941970825,5
285,0.6416666666666667,0.36947494745254517,5
286,0.65,0.36824721097946167,5
287,0.6583333333333333,0.3638564646244049,5
288,0.6666666666666666,0.36250996589660645,5
289,0.675,0.3596472144126892,5
290,0.6833333333333333,0.3589855432510376,5
291,0.6916666666666667,0.35637786984443665,5
292,0.7,0.354825496673584,5
293,0.7083333333333334,0.35178473591804504,5
294,0.7166666666666667,0.3495312035083771,5
295,0.725,0.3474138677120209,5
296,0.7333333333333333,0.3427257239818573,5
297,0.7416666666666667,0.34108808636665344,5
298,0.75,0.33929914236068726,5
299,0.7583333333333333,0.3380168378353119,5
