,i/cout,\lam/\lam_max,stage
0,0.0,1.0,1
1,0.015625,0.966899037361145,1
2,0.03125,0.941853940486908,1
3,0.046875,0.8709680438041687,1
4,0.0625,0.8592527508735657,1
5,0.078125,0.8343279957771301,1
6,0.09375,0.7743306756019592,1
7,0.109375,0.7534194588661194,1
8,0.125,0.7328773736953735,1
9,0.140625,0.723047137260437,1
10,0.15625,0.7123560309410095,1
11,0.171875,0.6942756175994873,1
12,0.1875,0.6730440258979797,1
13,0.203125,0.6498237252235413,1
14,0.21875,0.6407564878463745,1
15,0.234375,0.6399893164634705,1
16,0.25,0.6202382445335388,1
17,0.265625,0.6107392311096191,1
18,0.28125,0.5833165645599365,1
19,0.296875,0.564784824848175,1
20,0.3125,0.5512862801551819,1
21,0.328125,0.5410787463188171,1
22,0.34375,0.5241001844406128,1
23,0.359375,0.5169317126274109,1
24,0.375,0.5098407864570618,1
25,0.390625,0.5018606781959534,1
26,0.40625,0.49606627225875854,1
27,0.421875,0.49299389123916626,1
28,0.4375,0.4829927384853363,1
29,0.453125,0.4617437720298767,1
30,0.46875,0.452109158039093,1
31,0.484375,0.43706995248794556,1
32,0.5,0.4227979779243469,1
33,0.515625,0.41955453157424927,1
34,0.53125,0.41756200790405273,1
35,0.546875,0.4099750816822052,1
36,0.5625,0.39106234908103943,1
37,0.578125,0.3813014030456543,1
38,0.59375,0.37388890981674194,1
39,0.609375,0.35990020632743835,1
40,0.625,0.3471886217594147,1
41,0.640625,0.33972951769828796,1
42,0.65625,0.33022576570510864,1
43,0.671875,0.3189815580844879,1
44,0.6875,0.31329336762428284,1
45,0.703125,0.2977909743785858,1
46,0.71875,0.28867971897125244,1
47,0.734375,0.2872004210948944,1
48,0.75,0.279310405254364,1
49,0.765625,0.26862838864326477,1
50,0.78125,0.2549895942211151,1
51,0.796875,0.2406027466058731,1
52,0.8125,0.23162728548049927,1
53,0.828125,0.23049038648605347,1
54,0.84375,0.2194247543811798,1
55,0.859375,0.20563043653964996,1
56,0.875,0.195824533700943,1
57,0.890625,0.18969155848026276,1
58,0.90625,0.18361128866672516,1
59,0.921875,0.17145805060863495,1
60,0.9375,0.1658138632774353,1
61,0.953125,0.1407393217086792,1
62,0.96875,0.12796546518802643,1
63,0.984375,0.10457038879394531,1
64,0.0,1.0,2
65,0.0078125,0.7411180138587952,2
66,0.015625,0.7211601138114929,2
67,0.0234375,0.6705402731895447,2
68,0.03125,0.651605486869812,2
69,0.0390625,0.6281940937042236,2
70,0.046875,0.6120256781578064,2
71,0.0546875,0.6091272234916687,2
72,0.0625,0.6031703948974609,2
73,0.0703125,0.5958608388900757,2
74,0.078125,0.5904635190963745,2
75,0.0859375,0.5777853727340698,2
76,0.09375,0.5656388401985168,2
77,0.1015625,0.5587939620018005,2
78,0.109375,0.5514535307884216,2
79,0.1171875,0.5435319542884827,2
