,i/cout,\lam/\lam_max,stage
0,0.0,1.0,1
1,0.015625,0.9342166185379028,1
2,0.03125,0.9108873605728149,1
3,0.046875,0.8904458284378052,1
4,0.0625,0.8687022924423218,1
5,0.078125,0.8410964012145996,1
6,0.09375,0.8206927180290222,1
7,0.109375,0.7832120656967163,1
8,0.125,0.7668034434318542,1
9,0.140625,0.7430395483970642,1
10,0.15625,0.7306864857673645,1
11,0.171875,0.631929337978363,1
12,0.1875,0.6081292033195496,1
13,0.203125,0.6027641296386719,1
14,0.21875,0.5899114608764648,1
15,0.234375,0.558492124080658,1
16,0.25,0.516861081123352,1
17,0.265625,0.5052645802497864,1
18,0.28125,0.49198421835899353,1
19,0.296875,0.4720754027366638,1
20,0.3125,0.4589152932167053,1
21,0.328125,0.4530423879623413,1
22,0.34375,0.43899106979370117,1
23,0.359375,0.43644413352012634,1
24,0.375,0.43092384934425354,1
25,0.390625,0.420306533575058,1
26,0.40625,0.41239798069000244,1
27,0.421875,0.39261865615844727,1
28,0.4375,0.38683924078941345,1
29,0.453125,0.3746030628681183,1
30,0.46875,0.36738938093185425,1
31,0.484375,0.3588799834251404,1
32,0.5,0.3488273322582245,1
33,0.515625,0.3458179235458374,1
34,0.53125,0.33109769225120544,1
35,0.546875,0.3265267014503479,1
36,0.5625,0.3192625939846039,1
37,0.578125,0.31344208121299744,1
38,0.59375,0.30979663133621216,1
39,0.609375,0.3089137375354767,1
40,0.625,0.2943333685398102,1
41,0.640625,0.28484195470809937,1
42,0.65625,0.27856484055519104,1
43,0.671875,0.27234065532684326,1
44,0.6875,0.2573838233947754,1
45,0.703125,0.25666192173957825,1
46,0.71875,0.24246938526630402,1
47,0.734375,0.23762483894824982,1
48,0.75,0.23532935976982117,1
49,0.765625,0.22469975054264069,1
50,0.78125,0.2198898196220398,1
51,0.796875,0.21256403625011444,1
52,0.8125,0.21200579404830933,1
53,0.828125,0.2033601850271225,1
54,0.84375,0.2003890722990036,1
55,0.859375,0.18794679641723633,1
56,0.875,0.18714909255504608,1
57,0.890625,0.18453216552734375,1
58,0.90625,0.18072985112667084,1
59,0.921875,0.17489387094974518,1
60,0.9375,0.163955956697464,1
61,0.953125,0.16221149265766144,1
62,0.96875,0.15704669058322906,1
63,0.984375,1.7158313880827336e-07,1
64,0.0,1.0,2
65,0.0078125,0.8969221711158752,2
66,0.015625,0.8470227122306824,2
67,0.0234375,0.7597870826721191,2
68,0.03125,0.7300182580947876,2
69,0.0390625,0.6864809989929199,2
70,0.046875,0.6761835217475891,2
71,0.0546875,0.6587496399879456,2
72,0.0625,0.6471663117408752,2
73,0.0703125,0.6428489089012146,2
74,0.078125,0.6338710784912109,2
75,0.0859375,0.6269732117652893,2
76,0.09375,0.6081182360649109,2
77,0.1015625,0.6042472720146179,2
